Branch,Customer type,Gender,Product line,Quantity,Total,Date,Rating
A,Normal,Male,Fashion accessories,3,163.611,2/15/2019,7.9
B,Normal,Male,Electronic accessories,1,63.315,2/28/2019,6
A,Member,Female,Sports and travel,2,82.887,3/2/2019,5
C,Member,Female,Food and beverages,2,31.227,2/13/2019,8.9
A,Normal,Male,Fashion accessories,1,22.386,1/26/2019,5.9
A,Member,Male,Electronic accessories,3,295.407,1/30/2019,5.9
A,Member,Male,Electronic accessories,1,76.923,1/27/2019,9.7
C,Normal,Female,Sports and travel,1,23.499,1/30/2019,8.6
C,Member,Female,Food and beverages,9,688.716,1/8/2019,4
A,Normal,Female,Fashion accessories,6,624.33,1/19/2019,4.2
A,Normal,Male,Fashion accessories,1,77.805,1/25/2019,9.2
A,Normal,Female,Fashion accessories,2,206.808,2/19/2019,9.2
C,Normal,Male,Health and beauty,7,390.9465,1/14/2019,5
B,Normal,Female,Electronic accessories,10,554.295,2/25/2019,10
A,Member,Female,Health and beauty,5,503.7375,1/23/2019,8.8
B,Normal,Female,Fashion accessories,9,345.0195,2/16/2019,4.2
B,Normal,Male,Food and beverages,8,177.408,1/1/2019,6.3
A,Member,Female,Home and lifestyle,4,118.902,3/7/2019,8.2
B,Normal,Male,Health and beauty,6,362.817,2/15/2019,5.1
A,Member,Female,Food and beverages,9,450.1035,1/23/2019,5
C,Member,Female,Home and lifestyle,1,90.5835,2/20/2019,7
A,Member,Male,Sports and travel,2,26.796,1/8/2019,7.8
B,Normal,Female,Home and lifestyle,9,106.596,3/17/2019,4.3
B,Normal,Female,Home and lifestyle,7,375.3645,1/12/2019,7
A,Member,Female,Electronic accessories,3,250.7085,1/8/2019,6.6
C,Member,Male,Health and beauty,3,106.5015,1/26/2019,7.3
B,Member,Male,Sports and travel,8,760.452,3/15/2019,6.5
C,Member,Female,Health and beauty,2,131.922,1/17/2019,4.9
C,Member,Male,Food and beverages,3,76.5765,1/8/2019,4.3
A,Normal,Male,Sports and travel,4,271.278,1/6/2019,9.3
A,Member,Male,Food and beverages,7,182.427,2/16/2019,7.1
C,Normal,Male,Fashion accessories,1,59.325,3/13/2019,9.6
B,Member,Female,Electronic accessories,10,225.015,1/28/2019,6.2
A,Member,Male,Sports and travel,6,561.078,1/18/2019,9.9
A,Member,Male,Home and lifestyle,4,97.818,3/19/2019,5.9
C,Normal,Male,Home and lifestyle,8,548.184,3/15/2019,6.3
C,Member,Male,Fashion accessories,1,54.9675,2/12/2019,4
B,Member,Male,Electronic accessories,1,41.7375,2/25/2019,6.1
A,Normal,Female,Electronic accessories,8,756.168,3/21/2019,4.5
B,Member,Female,Electronic accessories,8,101.64,1/19/2019,8.6
B,Member,Female,Food and beverages,10,348.705,1/8/2019,6
C,Member,Female,Fashion accessories,8,85.512,3/30/2019,9.5
B,Member,Male,Sports and travel,10,335.895,2/20/2019,9.9
A,Member,Female,Home and lifestyle,6,216.846,3/30/2019,7.5
A,Member,Female,Food and beverages,2,175.014,3/19/2019,7.6
A,Normal,Male,Sports and travel,7,335.013,1/13/2019,5
A,Member,Male,Food and beverages,1,92.295,2/5/2019,6.7
A,Member,Female,Electronic accessories,10,771.435,3/23/2019,9.5
C,Normal,Female,Fashion accessories,8,102.396,3/13/2019,6.8
A,Member,Male,Sports and travel,10,807.66,3/17/2019,5.6
C,Normal,Female,Health and beauty,5,439.215,2/21/2019,7.2
B,Normal,Female,Electronic accessories,8,486.444,2/7/2019,8.1
C,Member,Female,Fashion accessories,5,485.5725,3/2/2019,8.6
B,Normal,Male,Electronic accessories,5,148.995,3/6/2019,9.4
B,Member,Male,Electronic accessories,6,317.835,2/6/2019,8.9
B,Normal,Male,Health and beauty,8,832.944,1/28/2019,4.2
C,Normal,Male,Fashion accessories,7,446.439,1/18/2019,5
C,Member,Female,Food and beverages,6,297.801,2/5/2019,8.8
C,Member,Male,Health and beauty,7,629.16,3/2/2019,5.3
A,Member,Male,Food and beverages,9,331.128,2/9/2019,4.6
C,Member,Female,Electronic accessories,9,423.738,1/14/2019,7.5
B,Normal,Male,Home and lifestyle,4,193.074,2/9/2019,5.1
A,Member,Female,Health and beauty,5,145.5825,3/26/2019,4.2
A,Normal,Male,Food and beverages,7,84.7455,1/28/2019,8.1
C,Normal,Female,Health and beauty,2,122.472,2/14/2019,6
C,Member,Female,Home and lifestyle,4,329.196,3/24/2019,7.9
C,Normal,Male,Health and beauty,10,888.405,2/9/2019,8.8
B,Normal,Female,Health and beauty,5,435.12,3/24/2019,6.6
A,Member,Female,Food and beverages,2,167.034,3/27/2019,6.2
B,Normal,Female,Home and lifestyle,10,514.605,1/27/2019,4.2
B,Member,Female,Food and beverages,3,91.8225,3/27/2019,7.3
C,Normal,Female,Electronic accessories,4,235.746,1/19/2019,8.6
A,Normal,Female,Home and lifestyle,8,782.208,2/7/2019,6.8
A,Member,Male,Fashion accessories,8,431.256,1/31/2019,7.6
A,Member,Female,Food and beverages,3,313.74,2/25/2019,5.8
C,Normal,Female,Electronic accessories,6,223.587,2/2/2019,4.1
C,Member,Male,Sports and travel,1,44.9925,3/14/2019,9.3
A,Normal,Female,Fashion accessories,4,397.614,3/11/2019,6.8
B,Normal,Male,Home and lifestyle,3,217.2555,2/22/2019,8.7
B,Member,Female,Electronic accessories,3,82.719,3/2/2019,6.3
C,Member,Female,Home and lifestyle,9,338.2155,3/10/2019,5.1
B,Normal,Female,Home and lifestyle,6,103.131,2/8/2019,7
C,Member,Female,Home and lifestyle,2,26.733,2/22/2019,5.2
C,Normal,Female,Sports and travel,7,611.079,1/10/2019,6.6
C,Member,Female,Sports and travel,6,221.886,3/14/2019,6.5
B,Normal,Female,Electronic accessories,4,57.876,1/10/2019,9
B,Member,Male,Sports and travel,1,92.7255,2/15/2019,5.2
A,Member,Female,Health and beauty,9,374.409,1/13/2019,6.8
B,Normal,Female,Electronic accessories,9,833.9625,2/15/2019,7.6
B,Normal,Male,Sports and travel,2,53.151,3/2/2019,7.2
B,Normal,Male,Home and lifestyle,6,629.496,3/24/2019,7.1
C,Member,Female,Fashion accessories,2,175.035,2/2/2019,9.5
A,Normal,Female,Food and beverages,10,781.62,2/27/2019,5.1
C,Normal,Male,Health and beauty,7,470.988,1/20/2019,7.6
B,Normal,Female,Home and lifestyle,6,397.845,1/3/2019,9.8
C,Member,Male,Home and lifestyle,3,270.018,1/24/2019,5.1
C,Normal,Female,Health and beauty,7,579.8415,1/5/2019,7.5
A,Normal,Female,Sports and travel,5,469.77,3/30/2019,7.4
A,Member,Female,Health and beauty,3,290.0835,2/17/2019,4.2
C,Normal,Female,Food and beverages,6,360.927,3/21/2019,5.9
A,Normal,Male,Food and beverages,4,279.384,3/2/2019,6.9
C,Member,Male,Fashion accessories,9,943.299,3/27/2019,6.6
A,Normal,Female,Home and lifestyle,10,479.64,1/19/2019,5.7
A,Normal,Male,Health and beauty,5,266.6475,2/19/2019,5.3
A,Member,Male,Health and beauty,7,74.088,3/28/2019,4.2
A,Normal,Female,Electronic accessories,7,690.018,1/5/2019,7.3
C,Member,Male,Electronic accessories,2,176.925,3/26/2019,5.3
B,Member,Male,Fashion accessories,1,56.469,2/3/2019,4.7
C,Member,Male,Home and lifestyle,5,188.0025,2/6/2019,7.9
B,Normal,Female,Food and beverages,8,222.012,2/24/2019,8.9
B,Member,Male,Health and beauty,3,125.7165,2/21/2019,9.3
B,Member,Female,Home and lifestyle,3,68.985,1/9/2019,4.7
B,Member,Female,Food and beverages,4,263.97,2/25/2019,8.7
C,Member,Female,Food and beverages,4,88.368,1/13/2019,7.6
B,Member,Male,Home and lifestyle,6,415.233,2/9/2019,5.7
A,Normal,Female,Fashion accessories,7,312.8895,1/6/2019,6.8
C,Member,Male,Food and beverages,9,477.1305,1/10/2019,5.4
B,Normal,Male,Electronic accessories,6,289.926,2/7/2019,7.1
C,Normal,Female,Home and lifestyle,10,165.9,1/9/2019,7.8
A,Member,Female,Food and beverages,9,932.337,2/19/2019,8.4
C,Member,Male,Fashion accessories,1,96.579,3/18/2019,9.8
A,Member,Male,Electronic accessories,2,43.869,2/5/2019,9.8
A,Normal,Female,Fashion accessories,1,16.275,3/19/2019,7.4
C,Member,Male,Electronic accessories,3,304.983,3/30/2019,6.7
B,Normal,Male,Food and beverages,2,69.993,1/26/2019,6.4
B,Normal,Female,Electronic accessories,2,80.367,3/2/2019,5.8
A,Normal,Female,Home and lifestyle,9,314.685,3/4/2019,7.2
A,Member,Male,Home and lifestyle,3,255.1815,1/13/2019,9.3
A,Normal,Female,Health and beauty,3,49.77,3/25/2019,9.5
B,Member,Female,Electronic accessories,5,181.0725,3/11/2019,9
B,Member,Female,Food and beverages,10,888.615,1/1/2019,9
B,Member,Male,Home and lifestyle,7,271.2885,2/10/2019,6.7
B,Normal,Male,Electronic accessories,7,640.038,1/26/2019,5.5
A,Normal,Male,Home and lifestyle,3,252.252,2/11/2019,5.4
C,Normal,Male,Fashion accessories,2,180.873,2/7/2019,8.2
B,Member,Male,Fashion accessories,2,104.832,3/6/2019,7
A,Normal,Female,Food and beverages,4,313.572,3/4/2019,8.5
B,Member,Male,Food and beverages,6,167.58,2/26/2019,4.9
B,Normal,Female,Electronic accessories,1,26.7225,3/10/2019,5.1
B,Normal,Female,Food and beverages,1,71.1585,2/4/2019,6.5
C,Member,Male,Food and beverages,4,250.278,1/19/2019,9.8
A,Normal,Male,Health and beauty,4,244.23,1/23/2019,8.4
A,Member,Female,Sports and travel,9,921.186,3/14/2019,7.4
C,Normal,Male,Health and beauty,7,734.706,1/23/2019,6.1
C,Normal,Male,Electronic accessories,7,708.3195,1/9/2019,6
B,Normal,Female,Fashion accessories,5,334.4775,2/7/2019,8.5
B,Normal,Female,Health and beauty,2,30.996,2/18/2019,4.3
B,Member,Male,Health and beauty,8,520.8,1/3/2019,6.2
C,Member,Male,Electronic accessories,10,864.57,3/29/2019,4.3
B,Member,Male,Health and beauty,8,633.108,1/28/2019,8.4
A,Normal,Female,Food and beverages,5,296.94,3/22/2019,4.5
B,Normal,Female,Sports and travel,10,804.3,1/24/2019,6
A,Normal,Male,Electronic accessories,2,121.863,3/10/2019,8.8
B,Normal,Male,Fashion accessories,10,183.645,2/22/2019,6.6
C,Member,Female,Electronic accessories,1,63.9975,2/18/2019,5.9
C,Normal,Male,Health and beauty,1,42.3675,1/29/2019,6.2
B,Normal,Female,Home and lifestyle,10,1022.49,3/2/2019,4.4
A,Member,Male,Food and beverages,1,33.432,2/9/2019,7.7
A,Normal,Male,Home and lifestyle,1,69.111,2/22/2019,4.1
A,Member,Female,Fashion accessories,7,649.299,2/18/2019,6.6
